hearing_id,statement_index,dom_id,speaker,speaker_type,statement,matched_groups,matched_terms,n_keyword_groups,matching_sentence_indices,n_matching_sentences,matching_sentences,quote_types,n_quote_types,quote_type_terms,quote_type_match,purely_procedural,substantive_quote_candidate
279175,172,5216839,Mike Gipson,Legislator,"Thank you very much. This bill will be referred to our suspense file. Thank you, witnesses, for appearing. Thank you. K. We have an author. We have mister Ward file item number two, a B2222. Thank you very much, mister Ward. And you have witnesses, mister Ward?",bill_reference,a B2222,1,7,1,"We have mister Ward file item number two, a B2222.",,0,,False,True,False
279175,175,5216843,Chris Ward,Legislator,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. The structure is straightforward. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. Importantly, this credit is refundable.",local_news; civic_effects; journalists_reporters; news_organizations; employment_workforce; tax_credit,local news; civic engagement; voter participation; government accountability; accountability; journalists; news organizations; hire; retain; tax credit; refundable tax credit; journalist; journalism,6,1; 2; 4,3,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created.",problem; civic_value; jobs_workforce; policy_mechanism; policy_design,5,"problem: declines, disappears; civic_value: accountability, civic engagement, government accountability, voter participation; jobs_workforce: hire, journalist, journalists, retain; policy_mechanism: creating a refundable tax credit for local news organizations, which hire and retain journalists. the structure is straightforward. up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. importantly, this credit, credit, refundable tax credit, tax credit; policy_design: additional journalist, first five, new journalism position",True,False,True
279175,176,5216844,Chris Ward,Legislator,"So it works for small independent and non profit outlets, not just large corporations. The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability. And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",local_news; journalists_reporters; bill_reference,local journalism; journalism; Community News Act; Local News; Community News,3,3; 4,2,"And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",civic_value; policy_mechanism; policy_design; safeguards,4,"civic_value: accountability; policy_mechanism: supporting local journalism; policy_design: broadcast, independent, small independent; safeguards: ownership, political influence, transparency, without influencing content",True,False,True
279175,177,5216845,Chris Ward,Legislator,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information. When the time is appropriate, I respectfully request your aye vote.",journalists_reporters; civic_effects; information_effects; employment_workforce,reporters; democracy; local information; jobs,4,1,1,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information.",civic_value; information_value; jobs_workforce,3,"civic_value: democracy; information_value: local information, trusted; jobs_workforce: jobs, reporters",True,False,True
279175,189,5216857,Mike Gipson,Legislator,"I love it. Thank you very much. Anyone in the room wishing to speak in support of AB 2222, please come to the microphone, your name, your organization, and this is support.",bill_reference,AB 2222,1,3,1,"Anyone in the room wishing to speak in support of AB 2222, please come to the microphone, your name, your organization, and this is support.",,0,,False,True,False
279175,193,5216861,Sharon Quirk-Silva,Legislator,"Not only do I support this, but all of the efforts that I know that you are moving forward related to journalism. We are in a new frontier as we think about journalism, but journalism is one of the last communication efforts that's based on facts. And with streaming, with blogs and posts and social media, it's becoming harder and harder for the public to understand what's real and what's not real. And at every turn, we see the shrinking of our, as we said, news newspapers.",journalists_reporters; news_organizations,journalism; newspapers,2,1; 2; 4,3,"Not only do I support this, but all of the efforts that I know that you are moving forward related to journalism. We are in a new frontier as we think about journalism, but journalism is one of the last communication efforts that's based on facts. And at every turn, we see the shrinking of our, as we said, news newspapers.",problem; information_value,2,problem: shrinking; information_value: facts,True,False,True
279175,194,5216862,Sharon Quirk-Silva,Legislator,"One of the things as a former teacher, we can look to literacy and understand that many of us grew up with newspapers coming to our homes, not just newspapers, but maybe magazines, this type of information. And as was stated in your remarks, slowly but surely, we have seen all of these communication pieces pretty much wiped out. And so we wonder why young kids and families who might have gone to the doctors and picked up a magazine and read it with their parents or a newspaper that those conversations aren't happening.",news_organizations,newspapers; newspaper,1,1; 3,2,"One of the things as a former teacher, we can look to literacy and understand that many of us grew up with newspapers coming to our homes, not just newspapers, but maybe magazines, this type of information. And so we wonder why young kids and families who might have gone to the doctors and picked up a magazine and read it with their parents or a newspaper that those conversations aren't happening.",problem,1,problem: wiped out,True,False,True
279175,200,5216868,Mike Gipson,Legislator,"Great. With that, I just have one quick question for you, mister Ward. Why is the, the credit a fixed amount instead of a percentage amount for the wages for new hire journalists?",journalists_reporters; employment_workforce,journalists; hire; new hire; wages,2,3,1,"Why is the, the credit a fixed amount instead of a percentage amount for the wages for new hire journalists?",jobs_workforce; policy_mechanism; policy_design,3,"jobs_workforce: hire, journalists; policy_mechanism: credit; policy_design: amount, fixed amount, percentage, wages",True,False,True
279175,202,5216870,Chris Ward,Legislator,"Yes. This is similar to the law that was first enacted in Illinois. We have in our ecosystem, the majority of local news outlets are very small local news outlets, and part of their spending is on freelance, which is not covered by this bill. So part of the part of the amounts are to reflect the reality for those organizations that when they hire an actual staffer, it it may not reflect the full extent of their spending.",local_news; news_organizations,local news; news outlets,2,3,1,"We have in our ecosystem, the majority of local news outlets are very small local news outlets, and part of their spending is on freelance, which is not covered by this bill.",jobs_workforce; policy_design,2,"jobs_workforce: freelance, hire, staffer; policy_design: small local",True,False,True
279175,204,5216872,Chris Ward,Legislator,"Thank you, Mr. Chair, members. Thank you for the support of comments. I'm very happy to have another co author coming out of this committee, should this bill come out of this committee. You know, I think that we all very deeply appreciate the value of local news that we have, whether it's our kids growing up on the educational programming, family friendly content that we're able to produce, historical art of, exposes, are very specific to your local community.",local_news,local news,1,4,1,"You know, I think that we all very deeply appreciate the value of local news that we have, whether it's our kids growing up on the educational programming, family friendly content that we're able to produce, historical art of, exposes, are very specific to your local community.",,0,,False,False,False
