hearing_id,statement_index,dom_id,speaker,speaker_type,statement,bill,bill_segment_start,bill_segment_end,ab2222_reference,statement_type,matched_groups,matched_terms,n_keyword_groups,keyword_match
279175,169,5216836,Dawn Sanders-Koepke,Person,"I wanna answer that. Mister chair, I am not familiar with that being the case, but we'd certainly be happy to go back to our membership and just inquire. That was I apologize. That wasn't a question I was prepared for today, but certainly, we can look into it and get back to the committee.",AB 2222,169,287,False,non_legislator,,,0,False
279175,170,5216837,Mike Gipson,Legislator,"Thank you. Thank you very much. Miss Quirk Silva, you may close if you wish.",AB 2222,169,287,False,procedural,,,0,False
279175,171,5216838,Sharon Quirk-Silva,Legislator,Just to encourage support for this tax credit that encourages businesses to hire full time employees in designated high need areas.,AB 2222,169,287,False,substantive,employment_workforce;tax_credit,hire; tax credit; credit,2,True
279175,172,5216839,Mike Gipson,Legislator,"Thank you very much. This bill will be referred to our suspense file. Thank you, witnesses, for appearing. Thank you. K. We have an author. We have mister Ward file item number two, a B2222. Thank you very much, mister Ward. And you have witnesses, mister Ward?",AB 2222,169,287,True,substantive,bill_reference,a B2222,1,True
279175,173,5216840,Unidentified Speaker,Person,I do.,AB 2222,169,287,False,non_legislator,,,0,False
279175,174,5216841,Mike Gipson,Legislator,Great. You may proceed when ready.,AB 2222,169,287,False,procedural,,,0,False
279175,175,5216843,Chris Ward,Legislator,"When local news disappears, we see declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news organizations, which hire and retain journalists. The structure is straightforward. Up to 20,000 for each of the first five journalists, 15,000, for each additional journalist thereafter, an additional $15,000 for each new journalism position created. Importantly, this credit is refundable.",AB 2222,169,287,False,substantive,local_news;journalists_reporters;news_organizations;news_decline;civic_effects;employment_workforce;tax_credit,"local news; journalists; journalist; news organizations; declines in civic engagement, voter participation, and government accountability. And this bill addresses that by directly creating a refundable tax credit for local news; civic engagement; voter participation; voter participat; government accountability; accountability; hire; retain; journalism position; tax credit; refundable tax credit; credit",7,True
279175,176,5216844,Chris Ward,Legislator,"So it works for small independent and non profit outlets, not just large corporations. The bill is also carefully constructed with guardrails, transparency and ownership, limits on political influence, requirements for editorial standards and accountability. And this ensures that we are supporting local journalism without influencing content. With me to speak in support of the Community News Act are Matt Pierce, the legislative director of Rebuild Local News, and Bob Butler, the vice president of broadcast at SYK AFTRA.",AB 2222,169,287,True,substantive,bill_reference;local_news;civic_effects;editorial_independence;nonprofit_small_outlets,Community News Act; Local News; local journalism; Community News; accountability; editorial standards; editorial; political influence; content; guardrails; ownership; small independent; small independent and non profit outlets; independent and non profit outlets,5,True
279175,177,5216845,Chris Ward,Legislator,"AV twenty two twenty two is ultimately a jobs bill and a democracy bill, helping to keep reporters in communities and ensuring that Californians have access to trusted local information. When the time is appropriate, I respectfully request your aye vote.",AB 2222,169,287,True,substantive,journalists_reporters;civic_effects;information_effects;employment_workforce,reporters; democracy; trusted local information; local information; jobs,4,True
279175,178,5216846,Mike Gipson,Legislator,"Thank you very much. First witness, two minutes.",AB 2222,169,287,False,procedural,,,0,False
